subject,block,trial,mu1,mu2,choice,reward,RT
4,15,2,0,-4,1,-2,333
4,15,3,0,-4,1,-1,856
4,15,4,0,-4,1,-1,347
4,15,5,0,-4,1,0,325
4,15,6,0,-4,1,-1,334
4,15,7,0,-4,1,0,1055
4,15,8,0,-4,1,1,330
4,15,9,0,-4,1,-1,350
4,15,10,0,-4,2,-5,375
4,16,1,24,10,1,23,667
4,16,2,24,10,1,25,346
4,16,3,24,10,1,24,355
4,16,4,24,10,1,23,1130
4,16,5,24,10,1,24,311
4,16,6,24,10,1,25,369
4,16,7,24,10,1,24,376
4,16,8,24,10,1,23,374
4,16,9,24,10,1,23,404
4,16,10,24,10,1,23,359
4,17,1,2,19,1,3,523
4,17,2,2,19,2,20,351
4,17,3,2,19,2,21,719
4,17,4,2,19,2,19,364
4,17,5,2,19,2,17,1057
4,17,6,2,19,2,20,359
4,17,7,2,19,2,21,360
4,17,8,2,19,2,19,364
4,17,9,2,19,2,19,407
4,17,10,2,19,2,20,386
4,18,1,-6,-16,2,-15,839
4,18,2,-6,-16,1,-6,352
4,18,3,-6,-16,1,-6,369
4,18,4,-6,-16,1,-5,328
4,18,5,-6,-16,1,-6,1065
4,18,6,-6,-16,1,-7,319
4,18,7,-6,-16,1,-6,335
4,18,8,-6,-16,1,-6,361
4,18,9,-6,-16,1,-6,596
4,18,10,-6,-16,1,-7,406
4,19,1,6,-16,1,5,692
4,19,2,6,-16,2,-18,1247
4,19,3,6,-16,1,5,2499
4,19,4,6,-16,1,7,589
4,19,5,6,-16,1,7,416
4,19,6,6,-16,1,6,353
4,19,7,6,-16,1,7,350
4,19,8,6,-16,1,6,362
4,19,9,6,-16,1,6,350
4,19,10,6,-16,1,5,336
4,20,1,21,-3,1,22,552
4,20,2,21,-3,1,21,868
4,20,3,21,-3,1,23,375
4,20,4,21,-3,1,21,848
4,20,5,21,-3,1,19,420
4,20,6,21,-3,1,22,375
4,20,7,21,-3,1,21,387
4,20,8,21,-3,1,19,388
4,20,9,21,-3,1,21,336
4,20,10,21,-3,1,21,346
